front,back,tags,sources,decks,id
"When reading code you realize “Oh, so that’s what’s going on!”. What to do?",That’s a valuable moment. Record it. Write down only what wasn’t obvious from the code.,tidying,"Tidy First?
Beck, Kent",Tidy First?,twIvk4uZaewtiBQMnONN
Do you have to change the behavior of a system to make it more valuable?,"No. As soon as you add to the options of what it could do next, you make the code more valuable.","value,software design","Tidy First?
Beck, Kent",Tidy First?,ZvktSDFYqnXB7ma2NPBV
You see a block of code inside a routine that has an obvious purpose and limited interaction with the rest of the code in the routine. What should you do?,Extract it as a helper routine. Name the routine after the purpose (not how the routine works).,"tidying,helpers","Tidy First?
Beck, Kent",Tidy First?,WQ62oj5A38xjhjasMn7O
Should declaration and initialization be located close to each other?,"Yes. When you come across code that separates the declaration (with a possible type) and initialization, it’s harder to read. By the time you get to the initialization, you’ve forgotten some of the context of what the variable is for. Move declaration and initialization together.",tidying,"Tidy First?
Beck, Kent",Tidy First?,pM1xYZcurOVwhUBt13l2
When to tidy?,"Tidy never when: 
* You’re never changing this code again.
* There’s nothing to learn by improving the design.

Tidy later when:
* You have a big batch of tidying to do without immediate payoff. 
* There’s eventual payoff for completing the tidying. You can tidy in little batches.

Tidy after when: 
* Waiting until next time to tidy first will be more expensive.
* You won’t feel a sense of completion if you don’t tidy after.

Tidy first when:
* It will pay off immediately, either in improved comprehension or in cheaper behavior changes.
* You know what to tidy and how.",decision-making,"Tidy First?
Beck, Kent",Tidy First?,VWf9Uat0VLdTYbaEtAzH
How should code be ordered in a file?,"Order the code in the file in the order in which a reader (remember, there are many readers for each writer) would prefer to encounter it.","tidying,reading order","Tidy First?
Beck, Kent",Tidy First?,vp7fhPyo9m6UDIsPJpHl
How should tidyings and behavioral changes be structured with regards to PRs?,"Split the changes into separate PRs. 

Sequences of tidyings (or even just one tidying) go in one PR. Behavior changes go in a separate PR. 

Each time we switch between tidying and changing behavior, we open a new PR.","structural change,behavioral change","Tidy First?
Beck, Kent",Tidy First?,ubd5Lb0HNZHyHlU4DPDy
How does software create value?,"Software creates value in two ways:

* What it does today
* The possibility of new things we can make it do tomorrow",value,"Tidy First?
Beck, Kent",Tidy First?,sw7LUSK5HwxL0s5fcb0S
"So you need to call a routine, and the interface makes it difficult/complicated/ confusing/tedious. What to do?","Implement the interface you wish you could call and call it. Implement the new interface by simply calling the old one (you can inline the implementation later, after migrating all other callers).",tidying,"Tidy First?
Beck, Kent",Tidy First?,rsrXjFmrxYoYQ3HwewW6
What forces affect whether to tidy first or not?,"* Cost—Will tidying make costs smaller, later, or less likely?
* Revenue—Will tidying make revenue larger, sooner, or more likely?
* Coupling—Will tidying make it so I need to change fewer elements?
* Cohesion—Will tidying make it so the elements I need to change are in a smaller, more concentrated scope?",decision-making,"Tidy First?
Beck, Kent",Tidy First?,ogHo1f4lW99g97et0ff6
What should you do when you see a comment that says exactly what the code says?,Remove it.,"tidying,redundant comments","Tidy First?
Beck, Kent",Tidy First?,ka7Be1AZcTeteTtPL523
What should you do when doing one behavior change makes you change several widely dispersed spots in the code?,Reorder the code so the elements you need to change are adjacent.,"tidying,cohesion order","Tidy First?
Beck, Kent",Tidy First?,aExYC7Ta3sZsEahPw7PB
What drives the cost of software?,Coupling drives the cost of software.,"coupling,cost","Tidy First?
Beck, Kent",Tidy First?,ViVY33tOf9X32ZegO6BK
"You finally understand a part of a big, hairy expression. What to do?",Extract the subexpression into a variable named after the intention of the expression.,tidying,"Tidy First?
Beck, Kent",Tidy First?,PYgAYljBDwR6RrYIc5s9
"Why has ""coupling"" lost its meaning?","The word “coupling” has lost its meaning over time, coming to mean any relationship between elements in a system. “This service is coupled with that service”—okay, but how? With respect to what changes? It’s not enough to know that one service invokes another; we need to know what changes to one service would require changes to the other.",coupling,"Tidy First?
Beck, Kent",Tidy First?,NZYMjbmmp3n8JxWXhTMm
Should you tidy first when `cost(tidying) + cost(behavior change after tidying) < cost(behavior change without tidying)`?,Yes.,decision-making,"Tidy First?
Beck, Kent",Tidy First?,KipIPoIRq10BFsxiNBbY
If you see code with multiple ways to solve the same problem. What to do?,"If you see a pattern, pick one way to solve the problem and make the code consistent.",tidying,"Tidy First?
Beck, Kent",Tidy First?,IFiSOfwHpa3eZ3lpt8fQ
Why is software design important?,"To manage costs, because:

`cost(software) ~= coupling`","software design,coupling","Tidy First?
Beck, Kent",Tidy First?,HYQfwypmB1vc93bQ8dDK
How can we reduce the cost of tidying using reviews?,"If we want to reduce the cost of tidying, thus increasing tidying and reducing the cost of making behavior changes, then we can reduce the cost of review.","cost,decision-making","Tidy First?
Beck, Kent",Tidy First?,GRcl4xnJdfO4OjXbWalV
What are the implications of cohesion?,"* Coupled elements should be subelements of the same containing element. Shovel all the manure into one pile. 

* Elements that aren’t manure (well, that aren’t coupled) should go elsewhere.",cohesion,"Tidy First?
Beck, Kent",Tidy First?,Dzm2lvID2nGux9bEg6bK
What is speculative and reactive design?,"*Speculative design*

We know what we want to do next, so let’s design for it today. It will be cheaper to design now. Besides, once the software is in production we will never have the chance to design, so let’s pile it all in today. 

*Reactive design*

Features are all anyone cares about, so let’s design as little as we can today so we can get back to features. Only when features become nearly impossible to add will we begrudgingly improve the design, and then only just enough to get back to features.","speculative design,reactive design","Tidy First?
Beck, Kent",Tidy First?,AaGcFXz2iqPMls2dRFYk
"You’re reading a big chunk of code and you realize, “Oh, this part does this and then that part does that.” What to do?",Put a blank line between the parts.,tidying,"Tidy First?
Beck, Kent",Tidy First?,8NmMV9C0QeGVb57uXXan
What is the tradeoff of coupling and decoupling?,You can pay the cost of coupling or pay the cost (and reap the benefits) of decoupling. And you can fall anywhere along this continuum. No wonder software design is hard.,"decision-making,coupling","Tidy First?
Beck, Kent",Tidy First?,4kOs7HRQqIgKk3WTKzCJ
What are four types of value?,"* Satiating good - Once you have a reasonable amount of these goods, there is no additional benefit to having more, but it also won’t hurt to have more (in realistic quantities). 

* Diminishing good - It’s always good to have more of these goods, but the amount of value each additional unit gives you diminishes as you get more and more, but never reaches zero (for realistic quantities). 

* Overdosable good - These are beneficial up to some amount but further amounts of overdosable goods actually become harmful.

* Linear good - The benefit you get from them increases at a constant (linear) rate as you get more of them. Every additional unit provides the same amount of extra happiness or utility. 

Use the above to reason about how “good” something is and make more rational decisions.","decision-making,value",https://www.clearerthinking.org/post/think-smarter-about-what-s-good,Life Hacks,8Q8S1aWCvDP8WJNBybrB
What is eudaimonic wellbeing?,"The type of happiness or contentment that is achieved through self-actualization and having meaningful purpose in one’s life.

To phrase it another way, eudaimonia refers to the extent that we’re living a life focused on being the best version of ourselves, and striving towards our fullest human expression.","eudaimonic wellbeing,positive psychology",Reframe app,Wellbeing,Lu8wHPxCitoKpTy7F1fv
How to measure eudaimonic wellbeing?,"* Self-discovery. This involves knowing who we are as human beings — what we’re passionate about, what our values are, etc. — and possessing a strong sense of identity.

* Perceived development of one’s best potentials. This involves not only acknowledging what our potentials are (i.e, unique talents, skills, abilities), but taking action towards them so that they can become fully developed.

* A sense of purpose and meaning in life. Once we recognize our talents and skills, we can begin using them to fulfill larger life goals.

* Investment of significant effort in pursuit of excellence. When we are aware of our goals and ambitions, we devote more of our time and energy towards the tasks that align with them. We spend more time on these activities than on those that don’t help us achieve these dreams.

* Intense involvement in activities. Not only do we spend more time on the activities that allow us to live out our life’s purpose, we also feel more engaged and present when we are doing them — a concept known as “flow.”

* Enjoyment of activities as personally expressive. The best way to measure this area of eudaimonic well-being is to determine the extent to which we agree with the following statement: “It is really important that I enjoy what I do, not that that others are impressed by it.”","eudaimonic wellbeing,positive psychology",Reframe app,Wellbeing,YLBYOKNxk9j1zXvVZnDz
What four buckets can you use to categorize your work according to Amun Rathi?,"* Brilliant basics - tech debt, hygiene stuff, etc
* Bread and butter - optimizing
* Big bets - longer term investments with estimated high potential
* Breaking bad - moonshots","strategy,framework,investment allocation",https://open.spotify.com/episode/1TYYKvD3BZLkHCF4yC1OkA?si=0cbFPfPLQBuorFFkHDgfQA,Product Management,kEssFkDgy8Be6iyPg3uz
What is autonomy in the six-factor model of psychological wellbeing?,"High scores indicate that the respondent is independent and regulates his or her behavior independent of social pressures. An example statement for this criterion is ""I have confidence in my opinions, even if they are contrary to the general consensus"".","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,CyFOUmmftFzRCzrTk2wf
What is a good question to ask when making a bigger decision about buying something?,Will this significantly change how I spend my time on an average Tuesday?,decision-making,https://open.spotify.com/episode/2b8flTcHXIoM6ITxhLcZCv?si=yeJAoTOJQ9i-4opFOTqjBA&t=3549,Life Hacks,KpHdhYNvbz79r3hz5aav
What is purpose in life in the six-factor model of psychological wellbeing?,"High scores reflect the respondent's strong goal orientation and conviction that life holds meaning. An example statement for this criterion is ""Some people wander aimlessly through life, but I am not one of them"".","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,MHwzTscvYsrcEeIpDqAJ
What is self-acceptance in the six-factor model of psychological wellbeing?,"High scores reflect the respondent's positive attitude about his or her self. An example statement for this criterion is ""I like most aspects of my personality"".","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,OJEIJ1zT2MH2V8LocIOJ
What is positive relations with others in the six-factor model of psychological wellbeing?,"High scores reflect the respondent's engagement in meaningful relationships with others that include reciprocal empathy, intimacy, and affection. An example statement for this criterion is ""People would describe me as a giving person, willing to share my time with others"".","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,POo8cy34BwJ65374WGLU
What is environmental mastery in the six-factor model of psychological wellbeing?,"High scores indicate that the respondent makes effective use of opportunities and has a sense of mastery in managing environmental factors and activities, including managing everyday affairs and creating situations to benefit personal needs. An example statement for this criterion is ""In general, I feel I am in charge of the situation in which I live"".","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,QzpgLSNuZNviVsNDaGrP
What are questions to ask if you are self-gaslighting yourself?,"When was the last time you felt a genuine sense of accomplishment at work, and what sparked that feeling? How do your actions set you up for more of those moments?

Have you noticed a pattern in the situations that cause you to doubt yourself, and what do these situations have in common?

How might you be minimizing or invalidating your feelings and experiences at work?

How do the polished, success-focused narratives you often hear in professional advice contrast with the realities of your daily work experience? What does this disparity tell you about the authenticity of such advice in your career journey?

How do your habitual responses to stress and anxiety at work align or conflict with your ultimate goal of meeting your personal and professional needs?

What small, actionable steps can you take to establish boundaries that protect you from absorbing the low-level dysfunction in your workplace, and how might these boundaries help you maintain your well-being and focus on what truly matters in your job?

In what specific ways does your work environment foster self-doubt, and what might be the underlying reasons for this dynamic? Who benefits?

How can you dig deeper into the 'that's just how it is at this level' claim you hear at work? What can you do to chat with folks in other companies or industries to see if they're dealing with the same stuff or if it's just a 'your company' thing?","mentoring,coaching,self-gaslighting",https://cutlefish.substack.com/p/tbm-254-self-gaslighting-and-the,Mentoring & Coaching,RfTZWC5zouYfo7KenTS6
What are the six factors in the six-factor model of physiological wellbeing?,"1. Autonomy 
2. Environmental mastery 
3. Personal growth
4. Positive relations with others
5. Purpose in life
6. Self-acceptance","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,UNrRstmH9iL1qpJ8S2Iq
What is the six-factor model of psychological well-being?,"The six-factor model of psychological well-being is a theory developed by Carol Ryff which determines six factors which contribute to an individual's psychological well-being, contentment, and happiness.","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,biQzYZ030R0nkSQmFhmm
What is personal growth in the six-factor model of psychological wellbeing?,"High scores indicate that the respondent continues to develop, is welcoming to new experiences, and recognizes improvement in behavior and self over time. An example statement for this criterion is ""I think it is important to have new experiences that challenge how you think about yourself and the world"".","wellbeing,six-factor model",https://en.m.wikipedia.org/wiki/Six-factor_model_of_psychological_well-being,Wellbeing,x7xXEAqKVSjvOWRK1Lqb
What are practices to build psychological safety?,"* Tangible interventions to encourage team members to speak up

* Striking the right balance between intellectual honesty and psychological safety

* Cultivating psychological safety to help diverse teams excel","psychological safety,leadership,people management",https://knowledge.insead.edu/leadership-organisations/effective-strategies-building-and-boosting-psychological-safety,Engineering Leadership,RjihpNKS2DSEXwSwGLhK
What are the elements of *story spine*?,"1. Once upon a time... - Introduce the main character and set the scene.

2. And every day... - Describe the normal routine or situation of the main character.

3. But one day... - Introduce an event that disrupts the normal routine.

4. Because of that... - Explain the consequences or actions resulting from the event.

5. Because of that... Continue to describe the series of events and reactions.

6. Because of that... - Keep building upon the chain of cause and effect.

7. Until finally... - Describe the climax or turning point of the story.

8. And ever since then... - Explain the new normal or resolution after the climax.

9. The moral of the story is... - Optionally, convey the lesson or message of the story.","story spine,storytelling",https://bookbird.io/story-spine/,Clear Communication,979NorF7bTG6Lr8KsqQ3
What is *story spine*?,"A story spine is a simple yet powerful storytelling framework, consisting of a series of connected phrases or “spines” that guide the progression of a narrative. 

It provides a blueprint for writers to create engaging stories with a clear beginning, middle, and end.","story spine,storytelling",https://bookbird.io/story-spine/,Clear Communication,sulS54SYxmTQExZ65nDk
What are the four components of non-violent communication?,"* Observation: These are facts, specific to time and context, distinct from our evaluation of meaning and significance.  

* Feelings: These are emotions or sensations, free of thought and story. They reflect whether we are experiencing our needs as met or unmet. Identifying feelings is said to allow us to more easily connect with one another.

* Needs: These are universal human needs, as distinct from particular strategies for meeting needs. E.g., sustenance, safety, love, understanding/empathy, creativity, recreation, sense of belonging, autonomy and meaning.

* Requests: Requests are distinguished from demands in that one is open to hearing a response of ""no"" without triggering an attempt to force the matter. It is recommended that requests use clear, positive, concrete action language.","non-violent communcation,leadership",https://en.wikipedia.org/wiki/Nonviolent_Communication,Clear Communication,vyb5cT6w2eD7Vxu4pqqA
What are possible patterns for code collaboration?,"* File a ticket - open a ticket with the owning team.

* Internal open-source - anyone can contribute, but the owner reviews and approves.

* Trusted outsider - the owner trusts certain outsiders to contribute directly.

* Tour of duty - engineers from other teams will temporarily join the owning team to make the contributions.

* Embedded expert - an expert from the owning team is temporarily embedded in the contributing team to make the change.",collaboration models,https://blog.thepete.net/blog/2021/06/17/patterns-of-cross-team-collaboration/,Engineering Leadership,JIZYaMtMnxvvA2gAOVdr
"How to mentor skills, according to David Golden?","To mentor skills, observe them in action.

First, you have to observe the mentee’s activities or output. For coding skills, code review or pair programming would work. For communication skills, sit in on a meeting they expect to actively participate in or watch them practice a presentation. For technical writing, read what they’ve written.

The most important thing you can do is provide actionable feedback.","coaching,mentoring",https://xdg.me/mentor-engineers/,Mentoring & Coaching,A4GQTb07w0NkopZSb6I7
"How to mentor situations, according to David Golden?","To mentor situations, tell stories.

First, sharing a related experience reassures a mentee that they’re not alone – that someone else has faced a similar challenge. 

Second, stories engage the listener’s brain, helping them focus more completely on what they’re being told rather than their own problems. 

Third, stories let a mentee consider a situation through an abstraction – when they aren’t the protagonist of their own, immediate problem, they have a chance to see a situation more objectively and consider different perspectives. 

Finally, it preserves their agency and sense of control. A story is a teaching tool – “this worked for me” – but you leave the decisions up to them.","coaching,mentoring",https://xdg.me/mentor-engineers/,Mentoring & Coaching,78Djwga6uFtSExdUuY2w
"How to mentor goals, according to David Golden?","To mentor goals, ask questions.

To help someone understand their goals, ask questions that help them reflect on their current situation, consider potential futures, and chart a course from one to another.

What’s going well? What’s not going well? What about your role do you enjoy the most? What’s most frustrating? If you could change one thing, what would it be and why?","coaching,mentoring",https://xdg.me/mentor-engineers/,Mentoring & Coaching,8f8hr6a4APg1qV6pxudJ
"What three levels should mentors operate on, according to David Golden?","* Goals - figuring out what they really want
* Situations - handling the unfamiliar or difficult
* Skills - getting promoted","coaching,mentoring",https://xdg.me/mentor-engineers/,Mentoring & Coaching,REGC8cfbRz2Ig0xb6DkL
"When mentoring, what should you provide instead of solutions, according to Jo Owen?","Rather than solutions, provide frameworks:

For example, ‘I have found a useful way of thinking about this type of problem’. Remember, you offering them a fresh way of thinking about their issue. Let them work out with you how to apply the framework.","coaching,mentoring",How To Coach by Jo Owen,Mentoring & Coaching,rcQ6JRYXgJUlSzTn7FnY
"When mentoring, what should you provide instead of answers, according to Jo Owen?","Rather than answers, provide questions:

* What’s stopping you doing that? 
* Why are you approaching it this way?
* What would happen if you didn’t hold this true?
* If you had a magic wand, what would you do differently?
* How would your hero tackle this?","coaching,mentoring",How To Coach by Jo Owen,Mentoring & Coaching,QYa5jZ9d2zpvppwjt9H7
What are the five Os framework by Jo Owen?,"* Objectives: what are we trying to achieve, what is the desired outcome?
* Overview: What is the situation, and how does it look from different points of view?
* Options: What are our possible courses of action and what are the benefits and risks of each one?
* Obstacles: What will stop us from taking the best course of action, and how can we overcome those obstacles?
* Outcome: Who will do what, where, how and when?","five Os,mentoring,coaching",How To Coach by Jo Owen,Mentoring & Coaching,JaUJ5gl8eTi06VHSCtB9
What are examples of *miracle questions*?,"* Imagine that you wake up tomorrow, and by some miracle, the problem you have has disappeared. But because it’s a miracle, you don’t know it yet. How would you discover it’s gone away?
* Let’s imagine we are having our end-of-year performance conversation, and project X would have been entirely solved.
* What is it in your work relationship with person X that you want to change? Three months from now, what would have changed when you come to a meeting with this person that would be a clear sign that something has changed?
* How would the people in your team know that it is the case?
* How would you know that something has changed?
* How would you be aware that something is different?
* How would others around you notice?
* If a third person was in that meeting with you, what would this person notice?",SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,DT9R8ZkV8BfaLv6VS6Az
"In solution-oriented coaching, what are *miracle questions*?",A category of questions is meant to help someone visualize a future in which his problem is gone.,SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,1TD7xwQ3pJDKm0rWB2Om
What are examples of *coping questions*?,"* How did you manage to keep going despite everything going wrong?
* How did you manage to prevent things from getting even worse?
* How have you managed to keep going while suffering depression for so long?
* How did you manage to cope with divorce on top of your depression?
* What did your employer see in you that led them to give you such a responsible job?
* How on earth did you overcome your alcoholism when you were in such dire straits?
* How did you overcome your drug addiction?
* Where did you find the confidence to speak to her let alone ask her out?
* How did she know that behind the sad façade was a man worth marrying?",SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,RSuvSFzt9qn2yA5H5kg3
"In solution-oriented coaching, what are *coping questions*?",Coping questions are useful to help someone remember that they have overcome many challenging situations in the past and that they have resources and resilience in them.,SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,7WONlZMGD2e3X8m7uCCh
What are examples of *scaling questions*?,"* How would you rate your motivation on this project from 0 to 10, with 0 being the lowest and 10 being the highest?
* What score would you rate your motivation when you started the project?
* What can explain why the score has been going down over time? (or up)
* What would be a small thing you could do to increase the rating by a mere 0.5?
* What would take the situation and how you perceive it from a 4 to a 4.5?",SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,lbN5m0ukwfr0QOtA4HTP
"In solution-oriented coaching, what are *scaling questions*?","Scaling questions are useful to assess progress towards a goal, and figure out how to keep someone on track with making progress. A natural follow-up to a scaling question is to ask a “small next step” question to identify what can be done to maintain progress.",SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,qA50NVvbyCVoaeh73af7
What are examples of *exception questions* in solution-focused coaching?,"* Are there times when this has been less of a problem?
* Were there past moments when the opposite happened, and everything went smoothly?
* How have you and the team managed to get so many of the backlog tasks and projects done?
* What do you think contributed to those achievements? 
* What can be done for the team to achieve even more of those?
* When you worked on task A, you finished it very quickly and with high quality. Now if we look at task B, that took longer, and the result was not as shiny. What can be done to apply more of your success in the tasks of type A towards the tasks of type B?
* What exactly made it less of a problem during those times?
* What do you think made it so that in the examples you just gave me, the outcome was successful?",SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,RkhdJt7zMbgvsl7OXC3d
"In solution-focused coaching, what are *exception questions*?",Exception questions are meant to help identify potential solutions by looking at what has worked or helped in similar situations.,SFBT,https://codecapsule.com/2023/08/23/solution-oriented-coaching-or-the-lost-art-of-effective-conversations/,Mentoring & Coaching,SAqVlVvkrKHo4tJNTCtm
What are the three common data ownership scenarios between services?,"* Single ownership - one service writes to the table (solution: that service owns the table)
* Common ownership - all/most services write to the table (solution: create a new, dedicated service for writing who also owns the table)
* Joint ownership - two or more services  write to the table (solution: more complex)","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,01xp0Kiw6cIHEldSnbWV
What is *CORS*?,"Cross-Origin Resource Sharing (CORS) is an HTTP-header based mechanism that allows a server to indicate any origins (domain, scheme, or port) other than its own from which a browser should permit loading resources.

An example of a cross-origin request: the front-end JavaScript code served from **https://domain-a.com** uses XMLHttpRequest to make a request for **https://domain-b.com/data.json**.","security,rest,api",https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS,Software Security,050CUJ1u7PQIa03sGBt9
What are the five factors that can be used to identify if a decision is *architecturally significant*?,"The decision affects:

* The structure (i.e., architecture style)
* Non-functional requirements
* Dependencies (i.e., coupling between components/services)
* Interfaces (e.g., contracts, version management)
* Construction techniques (decisions about e.g., platforms, frameworks)",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,0LDeT1eE0A6iLFURbVni
What are the five hindrances?,"In the Buddhist tradition, the five hindrances are identified as mental factors that hinder progress in meditation and in our daily lives. They are:

1. Sensory desire (kāmacchanda): seeking for pleasure through the five senses of sight, sound, smell, taste and physical feeling.
2. Ill-will (vyāpāda; also spelled byāpāda): feelings of hostility, resentment, hatred and bitterness.
3. Sloth-and-torpor (thīna-middha): half-hearted action with little or no effort or concentration.
4. Restlessness-and-worry (uddhacca-kukkucca): the inability to calm the mind and focus one's energy.
5. Doubt (vicikiccha): lack of conviction or trust in one's abilities.","mindfulness,buddhism,meditation",https://en.wikipedia.org/wiki/Five_hindrances,Mindfulness,0NWJMqJPxp6D4xruGEJ3
What is the data dichotomy?,Data systems are about exposing data. Services are about hiding it.,data architecture,https://www.confluent.io/blog/data-dichotomy-rethinking-the-way-we-treat-data-and-services/,Software Architecture,0SdRAAzfBrrGvtBCpejs
What is the *bridge pattern*?,It is a structural design pattern that lets you split a large class or a set of closely related classes into two separate hierarchies—abstraction and implementation—which can be developed independently of each other.,"design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,0eYziwVUhUZVGRhqUUmk
What two capabilities in *architecture* drive improvements in software delivery performance?,"* Use a loosely coupled architecture.
* Architect for empowered teams.","software engineering,performance,software architecture",Accelerate by Nicole Forsgren et al.,Effective Engineering,19pxypdEwnbRCYJF1YQd
What are the trade-offs for code replication as a reuse pattern?,"### Pros
* Preserves the bounded context
* No code sharing

### Cons
* Difficult to apply code changes
* Code inconsistency across services
* No versioning capabilities across services","software architecture,reuse code",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,19yZHrDmwJzU34tnSh9L
